sequence_id,length,alignment_length,gap_fraction,identity_to_consensus,leading_gaps,trailing_gaps,internal_gaps,admission_route,provisional_source_flag,msa_outlier,msa_outlier_reasons
WP_408963110.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_038082255.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_392535573.1,71,115,0.382609,0.901408,23,21,0,strict_ncbi_metadata,,False,
WP_377962562.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_054470142.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_190432663.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_190377542.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_086756007.1,73,115,0.365217,0.931507,23,19,0,strict_ncbi_metadata,,False,
WP_292781623.1,73,115,0.365217,0.90411,23,19,0,strict_ncbi_metadata,,False,
WP_054464971.1,72,115,0.373913,0.861111,23,20,0,strict_ncbi_metadata,,False,
WP_009626980.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_073640805.1,73,115,0.365217,0.945205,23,19,0,strict_ncbi_metadata,,False,
WP_283753117.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_193963479.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_036004549.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_190643620.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_068510916.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_015171018.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_287130436.1,72,115,0.373913,0.916667,23,20,0,strict_ncbi_metadata,,False,
WP_268609013.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_298916699.1,75,115,0.347826,0.813333,23,17,0,strict_ncbi_metadata,uncultured,False,
WP_293160100.1,90,115,0.217391,0.888889,23,0,2,strict_ncbi_metadata,,False,
WP_293126616.1,90,115,0.217391,0.911111,23,0,2,strict_ncbi_metadata,,False,
WP_293124005.1,72,115,0.373913,0.916667,23,20,0,strict_ncbi_metadata,,False,
WP_293100807.1,89,115,0.226087,0.853933,23,0,3,strict_ncbi_metadata,,False,
WP_293087767.1,90,115,0.217391,0.866667,23,0,2,strict_ncbi_metadata,,False,
WP_293061633.1,90,115,0.217391,0.888889,23,0,2,strict_ncbi_metadata,,False,
WP_190553740.1,72,115,0.373913,0.972222,23,20,0,strict_ncbi_metadata,,False,
WP_287674806.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_287627019.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_287280996.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_271944488.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_012408764.1,73,115,0.365217,0.945205,23,19,0,strict_ncbi_metadata,,False,
WP_011316976.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_272092571.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_272074942.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_271933955.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_272058300.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_261225443.1,75,115,0.347826,0.906667,23,17,0,strict_ncbi_metadata,,False,
WP_254567340.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_235277851.1,72,115,0.373913,0.916667,23,20,0,strict_ncbi_metadata,,False,
WP_224341338.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_204152466.1,71,115,0.382609,0.971831,23,21,0,strict_ncbi_metadata,,False,
WP_202218625.1,90,115,0.217391,0.844444,23,0,2,strict_ncbi_metadata,,False,
WP_201320714.1,75,115,0.347826,0.893333,23,17,0,strict_ncbi_metadata,,False,
WP_200989004.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_194056178.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_193959329.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_193955741.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_193897365.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_193875962.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_190828481.1,72,115,0.373913,0.916667,23,20,0,strict_ncbi_metadata,,False,
WP_190804824.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_190775818.1,72,115,0.373913,0.916667,23,20,0,strict_ncbi_metadata,,False,
WP_190774558.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_190627385.1,72,115,0.373913,0.972222,23,20,0,strict_ncbi_metadata,,False,
WP_190503885.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_190483017.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_190387978.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_171572203.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_169617606.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_169262979.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_168569945.1,72,115,0.373913,0.902778,23,20,0,strict_ncbi_metadata,,False,
WP_163931998.1,73,115,0.365217,0.931507,23,19,0,strict_ncbi_metadata,,False,
WP_162425313.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_153228363.1,61,115,0.469565,0.918033,23,21,10,strict_ncbi_metadata,,False,
WP_138500607.1,73,115,0.365217,0.945205,23,19,0,strict_ncbi_metadata,,False,
WP_107805940.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_106257461.1,72,115,0.373913,0.972222,23,20,0,strict_ncbi_metadata,,False,
WP_103666325.1,74,115,0.356522,0.837838,23,18,0,strict_ncbi_metadata,,False,
WP_099068598.1,73,115,0.365217,0.945205,23,19,0,strict_ncbi_metadata,,False,
WP_096607388.1,72,115,0.373913,0.875,23,20,0,strict_ncbi_metadata,,False,
WP_088893383.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_084989880.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_083620231.1,72,115,0.373913,0.972222,23,20,0,strict_ncbi_metadata,,False,
WP_075598971.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_073608715.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_072717742.1,72,115,0.373913,0.972222,23,20,0,strict_ncbi_metadata,,False,
WP_063873375.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_063873374.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_057178839.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_045871251.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_042152734.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_039752851.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_036534731.1,72,115,0.373913,0.972222,23,20,0,strict_ncbi_metadata,,False,
WP_026789190.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_019501601.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_017803924.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_017803923.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_017300094.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_016922591.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_015229078.1,72,115,0.373913,0.847222,23,20,0,strict_ncbi_metadata,,False,
WP_015224598.1,72,115,0.373913,0.833333,23,20,0,strict_ncbi_metadata,,False,
WP_015167036.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_015146561.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_015080752.1,71,115,0.382609,0.957746,23,21,0,strict_ncbi_metadata,,False,
WP_011429717.1,72,115,0.373913,0.916667,23,20,0,strict_ncbi_metadata,,False,
WP_010996411.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_009768191.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_008311322.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_002735503.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
ABG51546.1,75,115,0.347826,0.826667,23,17,0,strict_ncbi_metadata,,False,
ABG51547.1,72,115,0.373913,0.902778,23,20,0,strict_ncbi_metadata,,False,
ABU55390.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_330936551.1,59,115,0.486957,0.915254,35,21,0,strict_ncbi_metadata,,False,
GAB4214070.1,72,115,0.373913,0.916667,23,20,0,strict_ncbi_metadata,MAG,False,
GAB4386638.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,MAG,False,
WP_458646425.1,91,115,0.208696,0.901099,0,21,3,strict_ncbi_metadata,,False,
WP_461927368.1,74,115,0.356522,0.918919,23,18,0,strict_ncbi_metadata,,False,
WP_461930966.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_472408654.1,80,115,0.304348,0.925,0,21,14,strict_ncbi_metadata,,False,
WP_479716902.1,72,115,0.373913,0.972222,23,20,0,strict_ncbi_metadata,,False,
WP_488204244.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_488739600.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_017322549.1,73,115,0.365217,0.931507,23,19,0,rescued_by_pf00741_and_core_profile,,False,
AOC53260.1,60,115,0.478261,0.916667,34,21,0,rescued_by_pf00741_and_core_profile,,False,
GEA25652.1,84,115,0.269565,0.869048,0,21,10,rescued_by_pf00741_and_core_profile,,False,
WP_496081776.1,72,115,0.373913,0.958333,23,20,0,rescued_by_pf00741_and_core_profile,,False,
WP_502249006.1,72,115,0.373913,0.875,23,20,0,rescued_by_pf00741_and_core_profile,,False,
WP_502881973.1,80,115,0.304348,0.95,0,21,14,rescued_by_pf00741_and_core_profile,,False,
WP_505716830.1,72,115,0.373913,0.972222,23,20,0,rescued_by_pf00741_and_core_profile,,False,
WP_506081038.1,72,115,0.373913,0.930556,23,20,0,rescued_by_pf00741_and_core_profile,,False,
