uid,accession_version,title,organism,taxid,length,source_database,updated_date,found_by_annotation_query,found_by_prk09371_query
38348658,CAE11899.1,structural protein GvpAII [Microcystis aeruginosa PCC 7806],Microcystis aeruginosa PCC 7806,267872,71,insd,2004/04/05,False,True
38348659,CAE11900.1,structural protein GvpAIII [Microcystis aeruginosa PCC 7806],Microcystis aeruginosa PCC 7806,267872,71,insd,2004/04/05,False,True
45827678,AAP82457.2,gas vesicle protein A1 [Microcystis sp. FACHB-854],Microcystis sp. FACHB-854,236300,71,insd,2006/10/03,False,True
61225457,P0A3G0.2,RecName: Full=Gas vesicle protein A; Short=GvpA; AltName: Full=Gas vesicle structural protein,Planktothrix agardhii,1160,72,swiss_prot,2026/09/02,True,True
61225460,P0A3G1.2,RecName: Full=Gas vesicle protein A; Short=GVP; Short=GvpA,Planktothrix rubescens,59512,72,swiss_prot,2025/06/18,True,True
63148627,AAY34442.1,gas vesicle structural protein [Microcystis sp. BC 8401],Microcystis sp. BC 8401,328048,71,insd,2005/06/01,False,True
63148637,AAY34452.1,gas vesicle structural protein [Microcystis sp. BC 8401],Microcystis sp. BC 8401,328048,71,insd,2005/06/01,False,True
70907720,CAJ15636.1,major gas vesicle [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/14,True,True
71152833,AAZ29490.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152835,AAZ29491.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152837,AAZ29492.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152839,AAZ29493.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152841,AAZ29494.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152843,AAZ29495.1,major gas vesicle protein [Dolichospermum solitarium 'BC Ana 0026'],Dolichospermum solitarium 'BC Ana 0026',320668,71,insd,2005/07/31,True,True
71152845,AAZ29496.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152847,AAZ29497.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152849,AAZ29498.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152851,AAZ29499.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152853,AAZ29500.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152855,AAZ29501.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152857,AAZ29502.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152859,AAZ29503.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152861,AAZ29504.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152863,AAZ29505.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
71152865,AAZ29506.1,major gas vesicle protein [Dolichospermum lemmermannii],Dolichospermum lemmermannii,54295,71,insd,2005/07/31,True,True
75700025,ABA19701.1,Gas vesicle protein GVPa [Trichormus variabilis ATCC 29413],Trichormus variabilis ATCC 29413,240292,148,insd,2014/01/28,True,False
75700028,ABA19704.1,Gas vesicle protein GVPa [Trichormus variabilis ATCC 29413],Trichormus variabilis ATCC 29413,240292,71,insd,2014/01/28,True,True
75700029,ABA19705.1,Gas vesicle protein GVPa [Trichormus variabilis ATCC 29413],Trichormus variabilis ATCC 29413,240292,71,insd,2014/01/28,True,True
86554075,ABC99033.1,gas vesicle protein A [Synechococcus sp. JA-3-3Ab],Synechococcus sp. JA-3-3Ab,321327,72,insd,2014/01/31,True,True
86557831,ABD02788.1,gas vesicle protein A [Synechococcus sp. JA-2-3B'a(2-13)],Synechococcus sp. JA-2-3B'a(2-13),321332,72,insd,2014/01/31,True,True
110167004,ABG51544.1,gas vesicle protein GVPa [Trichodesmium erythraeum IMS101],Trichodesmium erythraeum IMS101,203124,62,insd,2024/05/10,True,False
110167005,ABG51545.1,gas vesicle protein GVPa [Trichodesmium erythraeum IMS101],Trichodesmium erythraeum IMS101,203124,54,insd,2024/05/10,True,False
110167006,ABG51546.1,gas vesicle protein GVPa [Trichodesmium erythraeum IMS101],Trichodesmium erythraeum IMS101,203124,75,insd,2024/05/10,True,True
110167007,ABG51547.1,gas vesicle protein GVPa [Trichodesmium erythraeum IMS101],Trichodesmium erythraeum IMS101,203124,72,insd,2024/05/10,True,True
110167012,ABG51552.1,gas vesicle protein GVPa [Trichodesmium erythraeum IMS101],Trichodesmium erythraeum IMS101,203124,103,insd,2024/05/10,True,False
110167016,ABG51556.1,gas vesicle protein GVPa [Trichodesmium erythraeum IMS101],Trichodesmium erythraeum IMS101,203124,104,insd,2024/05/10,True,False
117394902,ABK34496.1,gas vesicle protein A1 [uncultured Microcystis sp.],uncultured Microcystis sp.,269212,71,insd,2008/05/28,False,True
117394903,ABK34497.1,gas vesicle protein A2 [uncultured Microcystis sp.],uncultured Microcystis sp.,269212,71,insd,2008/05/28,False,True
117394904,ABK34498.1,gas vesicle protein A3 [uncultured Microcystis sp.],uncultured Microcystis sp.,269212,71,insd,2008/05/28,False,True
117395047,ABK34514.1,gas vesicle protein A1 [uncultured Microcystis sp.],uncultured Microcystis sp.,269212,71,insd,2008/05/28,False,True
117395048,ABK34515.1,gas vesicle protein A2 [uncultured Microcystis sp.],uncultured Microcystis sp.,269212,71,insd,2008/05/28,False,True
117671505,ABK56839.1,gas vesicle protein A1 [Microcystis sp. FACHB-910],Microcystis sp. FACHB-910,411373,71,insd,2008/05/27,False,True
117671506,ABK56840.1,gas vesicle protein A2 [Microcystis sp. FACHB-910],Microcystis sp. FACHB-910,411373,71,insd,2008/05/27,False,True
117671509,ABK56842.1,gas vesicle protein A1 [Microcystis sp. FACHB-916],Microcystis sp. FACHB-916,411374,71,insd,2008/05/27,False,True
117671510,ABK56843.1,gas vesicle protein A2 [Microcystis sp. FACHB-916],Microcystis sp. FACHB-916,411374,71,insd,2008/05/27,False,True
117671511,ABK56844.1,gas vesicle protein A3 [Microcystis sp. FACHB-916],Microcystis sp. FACHB-916,411374,71,insd,2008/05/27,False,True
117671514,ABK56846.1,gas vesicle protein A1 [Microcystis sp. FACHB-927],Microcystis sp. FACHB-927,411375,71,insd,2008/05/27,False,True
117671515,ABK56847.1,gas vesicle protein A2 [Microcystis sp. FACHB-927],Microcystis sp. FACHB-927,411375,71,insd,2008/05/27,False,True
117671516,ABK56848.1,gas vesicle protein A3 [Microcystis sp. FACHB-927],Microcystis sp. FACHB-927,411375,71,insd,2008/05/27,False,True
117671519,ABK56850.1,gas vesicle protein A1 [Microcystis sp. FACHB-929],Microcystis sp. FACHB-929,411376,71,insd,2008/05/27,False,True
117671520,ABK56851.1,gas vesicle protein A2 [Microcystis sp. FACHB-929],Microcystis sp. FACHB-929,411376,71,insd,2008/05/27,False,True
117671521,ABK56852.1,gas vesicle protein A3 [Microcystis sp. FACHB-929],Microcystis sp. FACHB-929,411376,71,insd,2008/05/27,False,True
117671522,ABK56853.1,gas vesicle protein A4 [Microcystis sp. FACHB-929],Microcystis sp. FACHB-929,411376,71,insd,2008/05/27,False,True
117671525,ABK56855.1,gas vesicle protein A1 [Microcystis sp. FACHB-930],Microcystis sp. FACHB-930,411377,71,insd,2008/05/27,False,True
117671526,ABK56856.1,gas vesicle protein A2 [Microcystis sp. FACHB-930],Microcystis sp. FACHB-930,411377,71,insd,2008/05/27,False,True
117671527,ABK56857.1,gas vesicle protein A3 [Microcystis sp. FACHB-930],Microcystis sp. FACHB-930,411377,71,insd,2008/05/27,False,True
123501932,Q2JKK1.1,RecName: Full=Gas vesicle protein A; Short=GvpA,Synechococcus sp. JA-2-3B'a(2-13),321332,72,swiss_prot,2026/01/28,True,True
123507196,Q2JW39.1,RecName: Full=Gas vesicle protein A; Short=GvpA,Synechococcus sp. JA-3-3Ab,321327,72,swiss_prot,2026/01/28,True,True
156186239,ABU55390.1,gas vesicle structural protein [Limnospira maxima OUCLXC],Limnospira maxima OUCLXC,463197,72,insd,2007/08/27,True,True
159025977,CAO88768.1,gvpA3 [Microcystis aeruginosa PCC 7806],Microcystis aeruginosa PCC 7806,267872,71,insd,2016/07/26,False,True
159025978,CAO88769.1,gvpA2 [Microcystis aeruginosa PCC 7806],Microcystis aeruginosa PCC 7806,267872,71,insd,2016/07/26,False,True
159025979,CAO88770.1,gvpA1 [Microcystis aeruginosa PCC 7806],Microcystis aeruginosa PCC 7806,267872,71,insd,2016/07/26,False,True
161784169,ABX79574.1,"gas vesicle structural protein, partial [Arthrospira sp. PCC 9901]",Arthrospira sp. PCC 9901,478446,63,insd,2016/07/26,False,True
166088872,BAG03580.1,gas vesicle protein GvpAI [Microcystis aeruginosa NIES-843],Microcystis aeruginosa NIES-843,449447,71,insd,2016/10/07,False,True
166088873,BAG03581.1,gas vesicle protein GvpAII [Microcystis aeruginosa NIES-843],Microcystis aeruginosa NIES-843,449447,71,insd,2016/10/07,False,True
166088874,BAG03582.1,gas vesicle protein GvpAIII [Microcystis aeruginosa NIES-843],Microcystis aeruginosa NIES-843,449447,71,insd,2016/10/07,False,True
186464962,ACC80763.1,gas vesicle protein GvpA [Nostoc punctiforme PCC 73102],Nostoc punctiforme PCC 73102,63737,73,insd,2019/09/10,True,True
189042459,B0JPK6.1,RecName: Full=Gas vesicle protein A; Short=GvpA,Microcystis aeruginosa NIES-843,449447,71,swiss_prot,2026/09/02,False,True
209491481,EDZ91859.1,gas vesicle protein GVPa [Limnospira maxima CS-328],Limnospira maxima CS-328,513049,127,insd,2008/10/15,True,False
209491484,EDZ91862.1,gas vesicle protein GVPa [Limnospira maxima CS-328],Limnospira maxima CS-328,513049,72,insd,2008/10/15,True,True
226740541,B2J663.1,RecName: Full=Gas vesicle protein A; Short=GvpA,Nostoc punctiforme PCC 73102,63737,73,swiss_prot,2025/06/18,True,True
291568759,BAI91031.1,gas vesicle protein GvpA [Limnospira platensis NIES-39],Limnospira platensis NIES-39,696747,72,insd,2016/10/07,True,True
300333371,CBN58418.1,gas vesicle synthesis protein GvpA [Kamptonema sp. PCC 6506],Kamptonema sp. PCC 6506,272129,72,insd,2010/09/21,False,True
300333374,CBN58421.1,gas vesicle protein GVPa [Kamptonema sp. PCC 6506],Kamptonema sp. PCC 6506,272129,131,insd,2010/09/21,True,False
333455304,EGK83956.1,gas vesicle protein GVPa [Microcoleus vaginatus FGP-2],Microcoleus vaginatus FGP-2,756067,144,insd,2011/05/19,True,False
333455305,EGK83957.1,Gas vesicle structural protein [Microcoleus vaginatus FGP-2],Microcoleus vaginatus FGP-2,756067,154,insd,2011/05/19,False,True
356578547,AET14647.1,GvpA1 [Limnospira indica PCC 8005],Limnospira indica PCC 8005,376219,72,insd,2012/09/06,False,True
356578549,AET14649.1,GvpA2 [Limnospira indica PCC 8005],Limnospira indica PCC 8005,376219,72,insd,2012/09/06,False,True
356578551,AET14651.1,GvpA3 [Limnospira indica PCC 8005],Limnospira indica PCC 8005,376219,72,insd,2012/09/06,False,True
356578568,AET14663.1,GvpA [Limnospira platensis PCC 7345],Limnospira platensis PCC 7345,129975,72,insd,2012/09/06,True,True
356578571,AET14665.1,GvpA [Arthrospira sp. PCC 9108],Arthrospira sp. PCC 9108,147317,72,insd,2012/09/06,True,True
356578574,AET14667.1,GvpA [Arthrospira sp. PCC 9444],Arthrospira sp. PCC 9444,1111456,72,insd,2012/09/06,True,True
356578577,AET14669.1,GvpA [Arthrospira sp. Moz. 2.1],Arthrospira sp. Moz. 2.1,1111455,72,insd,2012/09/06,True,True
356578580,AET14671.1,GvpA2 [Limnospira indica PCC 8005],Limnospira indica PCC 8005,376219,72,insd,2012/09/06,False,True
356578583,AET14673.1,GvpA2 [Limnospira indica PCC 8005],Limnospira indica PCC 8005,376219,72,insd,2012/09/06,False,True
389677572,CCH93490.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9432],Microcystis aeruginosa PCC 9432,1160280,71,insd,2012/05/28,True,True
389677573,CCH93491.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9432],Microcystis aeruginosa PCC 9432,1160280,71,insd,2012/05/28,True,True
389677574,CCH93492.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9432],Microcystis aeruginosa PCC 9432,1160280,71,insd,2012/05/28,True,True
389719808,CCH96397.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9717],Microcystis aeruginosa PCC 9717,1160286,71,insd,2012/05/28,True,True
389719809,CCH96398.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9717],Microcystis aeruginosa PCC 9717,1160286,71,insd,2012/05/28,True,True
389719810,CCH96399.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9717],Microcystis aeruginosa PCC 9717,1160286,71,insd,2012/05/28,True,True
389764356,CCI09309.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 7941],Microcystis aeruginosa PCC 7941,213618,71,insd,2012/05/28,True,True
389764357,CCI09310.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 7941],Microcystis aeruginosa PCC 7941,213618,71,insd,2012/05/28,True,True
389790403,CCI13715.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9806],Microcystis aeruginosa PCC 9806,1160282,71,insd,2012/05/28,True,True
389790404,CCI13716.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9806],Microcystis aeruginosa PCC 9806,1160282,71,insd,2012/05/28,True,True
389800244,CCI20367.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9807],Microcystis aeruginosa PCC 9807,1160283,71,insd,2012/05/28,True,True
389824057,CCI27343.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9808],Microcystis aeruginosa PCC 9808,1160284,71,insd,2012/05/28,True,True
389832095,CCI24575.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9809],Microcystis aeruginosa PCC 9809,1160285,71,insd,2012/05/28,True,True
389832108,CCI24570.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9809],Microcystis aeruginosa PCC 9809,1160285,71,insd,2012/05/28,True,True
389835284,CCI33633.1,Gas vesicle structural protein A [Microcystis sp. T1-4],Microcystis sp. T1-4,1160279,71,insd,2012/05/28,True,True
389835285,CCI33634.1,Gas vesicle structural protein A [Microcystis sp. T1-4],Microcystis sp. T1-4,1160279,71,insd,2012/05/28,True,True
389881350,CCI38078.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9701],Microcystis aeruginosa PCC 9701,721123,71,insd,2012/05/28,True,True
389881351,CCI38079.1,Gas vesicle structural protein A [Microcystis aeruginosa PCC 9701],Microcystis aeruginosa PCC 9701,721123,71,insd,2012/05/28,True,True
406716506,EKD11655.1,gas vesicle protein GVPa [Limnospira platensis C1],Limnospira platensis C1,459495,112,insd,2012/09/27,True,False
406716510,EKD11659.1,hypothetical protein SPLC1_S010560 [Limnospira platensis C1],Limnospira platensis C1,459495,61,insd,2012/09/27,False,True
407269602,EKF01075.1,gas vesicle protein [Tolypothrix sp. PCC 7601],Tolypothrix sp. PCC 7601,1188,71,insd,2015/03/27,False,True
407269603,EKF01076.1,gas vesicle protein [Tolypothrix sp. PCC 7601],Tolypothrix sp. PCC 7601,1188,71,insd,2015/03/27,False,True
407270110,EKF01577.1,gas vesicle protein [Tolypothrix sp. PCC 7601],Tolypothrix sp. PCC 7601,1188,71,insd,2015/03/27,False,True
410709879,EKQ67390.1,Gas vesicle protein [Leptolyngbyaceae cyanobacterium JSC-12],Leptolyngbyaceae cyanobacterium JSC-12,864702,72,insd,2021/02/18,False,True
413971509,AFW95598.1,gas vesicle protein GvpA [Anabaena sp. 90],Anabaena sp. 90,46234,71,insd,2014/01/31,True,True
413971510,AFW95599.1,gas vesicle protein GvpA [Anabaena sp. 90],Anabaena sp. 90,46234,71,insd,2014/01/31,True,True
413971511,AFW95600.1,gas vesicle protein GvpA [Anabaena sp. 90],Anabaena sp. 90,46234,71,insd,2014/01/31,True,True
413971512,AFW95601.1,gas vesicle protein GvpA [Anabaena sp. 90],Anabaena sp. 90,46234,71,insd,2014/01/31,True,True
413971513,AFW95602.1,gas vesicle protein GvpA [Anabaena sp. 90],Anabaena sp. 90,46234,71,insd,2014/01/31,True,True
413971514,AFW95603.1,gas vesicle protein GvpA [Anabaena sp. 90],Anabaena sp. 90,46234,71,insd,2014/01/31,True,True
413971515,AFW95604.1,gas vesicle protein GvpA [Anabaena sp. 90],Anabaena sp. 90,46234,71,insd,2014/01/31,True,True
427984307,AFY65451.1,gas vesicle protein GVPa [Geitlerinema sp. PCC 7407],Geitlerinema sp. PCC 7407,1173025,72,insd,2019/09/11,True,True
427984310,AFY65454.1,gas vesicle protein GVPa [Geitlerinema sp. PCC 7407],Geitlerinema sp. PCC 7407,1173025,132,insd,2019/09/11,True,False
427988853,AFY69108.1,gas vesicle protein GVPa [Thalassoporum mexicanum PCC 7367],Thalassoporum mexicanum PCC 7367,82654,114,insd,2013/07/22,True,False
427988856,AFY69111.1,Gas vesicle structural protein [Thalassoporum mexicanum PCC 7367],Thalassoporum mexicanum PCC 7367,82654,73,insd,2013/07/22,False,True
427993682,AFY72377.1,Gas vesicle protein [Pseudanabaenococcus habilitatus PCC 7502],Pseudanabaenococcus habilitatus PCC 7502,1173263,72,insd,2013/07/22,False,True
427999068,AFY79911.1,Gas vesicle protein [Oxynema acuminatum PCC 6304],Oxynema acuminatum PCC 6304,56110,72,insd,2013/07/22,False,True
428689423,AFZ42717.1,gas vesicle protein GVPa [Halothece sp. PCC 7418],Halothece sp. PCC 7418,65093,128,insd,2019/09/11,True,False
428689426,AFZ42720.1,gas vesicle protein GVPa [Halothece sp. PCC 7418],Halothece sp. PCC 7418,65093,72,insd,2019/09/11,True,True
428693923,AFZ50073.1,Gas vesicle protein [Dactylococcopsis salina PCC 8305],Dactylococcopsis salina PCC 8305,13035,72,insd,2013/07/22,False,True
428693928,AFZ50078.1,Gas vesicle protein [Dactylococcopsis salina PCC 8305],Dactylococcopsis salina PCC 8305,13035,72,insd,2013/07/22,False,True
440174066,ELP53435.1,gas vesicle structural protein [Microcystis aeruginosa TAIHU98],Microcystis aeruginosa TAIHU98,1134457,71,insd,2013/01/03,False,True
440174642,ELP54011.1,gas vesicle structural protein [Microcystis aeruginosa TAIHU98],Microcystis aeruginosa TAIHU98,1134457,71,insd,2013/01/03,False,True
440175500,ELP54869.1,gas vesicle structural protein [Microcystis aeruginosa TAIHU98],Microcystis aeruginosa TAIHU98,1134457,71,insd,2013/01/03,False,True
443018702,ELS32909.1,gas vesicle protein GVPa [Pseudanabaena biceps PCC 7429],Pseudanabaena biceps PCC 7429,927668,72,insd,2013/01/18,True,True
443018705,ELS32912.1,gas vesicle protein GVPa [Pseudanabaena biceps PCC 7429],Pseudanabaena biceps PCC 7429,927668,108,insd,2013/01/18,True,False
443330912,ELS45596.1,gas vesicle structural protein [Microcystis aeruginosa FACHB-905 = DIANCHI905],Microcystis aeruginosa FACHB-905 = DIANCHI905,267865,71,insd,2013/01/22,False,True
443330913,ELS45597.1,gas vesicle structural protein [Microcystis aeruginosa FACHB-905 = DIANCHI905],Microcystis aeruginosa FACHB-905 = DIANCHI905,267865,71,insd,2013/01/22,False,True
488823097,WP_002735503.1,MULTISPECIES: gas vesicle structural protein GvpA [Oscillatoriophycideae],Oscillatoriophycideae,1301283,71,refseq,2023/03/20,True,True
493666253,WP_006616598.1,MULTISPECIES: gas vesicle structural protein GvpA [Bacteria],Bacteria,2,72,refseq,2025/08/09,True,True
494599342,WP_007357596.1,MULTISPECIES: gas vesicle structural protein GvpA [Oscillatoriales],Oscillatoriales,1150,72,refseq,2025/11/27,True,True
495586743,WP_008311322.1,gas vesicle structural protein GvpA [Leptolyngbya sp. PCC 6406],Leptolyngbya sp. PCC 6406,1173264,72,refseq,2023/03/20,True,True
497312763,WP_009626980.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,72,refseq,2023/12/16,True,True
497453993,WP_009768191.1,MULTISPECIES: gas vesicle structural protein GvpA [Leptolyngbyaceae],Leptolyngbyaceae,1890438,72,refseq,2023/03/20,True,True
499305636,WP_010996411.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostocales],Nostocales,1161,71,refseq,2023/03/20,True,True
499636242,WP_011316976.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostocaceae],Nostocaceae,1162,71,refseq,2023/05/06,True,True
499748983,WP_011429717.1,MULTISPECIES: gas vesicle structural protein GvpA [Cyanophyceae],Cyanophyceae,3028117,72,refseq,2025/12/21,True,True
499931179,WP_011611913.1,gas vesicle protein GvpJ [Trichodesmium erythraeum],Trichodesmium erythraeum,1206,75,refseq,2026/03/02,False,True
499931180,WP_011611914.1,gas vesicle protein GvpJ [Trichodesmium erythraeum],Trichodesmium erythraeum,1206,72,refseq,2026/03/09,False,True
501377198,WP_012408764.1,MULTISPECIES: gas vesicle structural protein GvpA [Nostoc],Nostoc,1177,73,refseq,2023/05/06,True,True
