sequence_id,length,legal_chars,length_in_reference_range,valid_sequence,exact_copy_reference,nearest_reference_id,nearest_reference_identity,nearest_reference_full_length_identity,nearest_reference_query_coverage,nearest_reference_target_coverage,coverage_pass,near_duplicate,sequence_novel,sequence_novelty,nearest_kmer_reference_id,nearest_kmer_jaccard,kmer_novelty,profile_status,profile_hit,profile_evalue,profile_bit_score,structure_status,nearest_structure_id,aligned_ca_count,structure_query_coverage,structure_target_coverage,ca_rmsd,tm_score_query_norm,tm_score_target_norm,tm_score_symmetric,gdt_ts,structure_conserved,structure_novelty,generated_mean_ca_confidence,generated_min_ca_confidence,candidate_class
vae_scale1_temp0.8_seed42_0010,27,True,False,False,False,WP_323244924.1,0.7407407407407407,0.2857142857142857,1.0,0.38571428571428573,False,False,False,,WP_017721725.1,0.07317073170731707,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0011,77,True,True,True,False,WP_017322549.1,0.4153846153846154,0.35064935064935066,0.8441558441558441,0.8904109589041096,True,False,True,0.6493506493506493,WP_414395174.1,0.07575757575757576,0.9242424242424242,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,sequence_novel
vae_scale1_temp0.8_seed42_0012,58,True,False,False,False,WP_007357596.1,0.5660377358490566,0.4166666666666667,0.9137931034482759,0.7361111111111112,False,False,False,,WP_015224598.1,0.061946902654867256,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0013,37,True,False,False,False,AOC53260.1,0.35135135135135137,0.21666666666666667,1.0,0.6166666666666667,False,False,False,,WP_103666325.1,0.029411764705882353,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0014,41,True,False,False,False,AOC53260.1,0.5,0.3333333333333333,0.975609756097561,0.6666666666666666,False,False,False,,WP_096607388.1,0.06862745098039216,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0015,46,True,False,False,False,WP_413173346.1,0.4888888888888889,0.3013698630136986,0.9782608695652174,0.6164383561643836,False,False,False,,WP_169262979.1,0.11578947368421053,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0016,72,True,True,True,False,WP_017721733.1,0.29850746268656714,0.2777777777777778,0.9305555555555556,0.9305555555555556,True,False,True,0.7222222222222222,WP_190464766.1,0.047619047619047616,0.9523809523809523,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,sequence_novel
vae_scale1_temp0.8_seed42_0017,0,False,False,False,False,ABG51546.1,0.0,0.0,0.0,0.0,False,False,False,,ABG51546.1,0.0,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0018,100,True,False,False,False,WP_458646425.1,0.47560975609756095,0.39,0.82,0.9010989010989011,True,False,False,,WP_103666325.1,0.08904109589041095,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0019,39,True,False,False,False,WP_193959329.1,0.5,0.2676056338028169,0.9743589743589743,0.5352112676056338,False,False,False,,WP_096607388.1,0.050505050505050504,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
