sequence_id,ncbi_taxid,ncbi_organism,length,cluster_95_representative,cluster_95_size,cluster_90_representative,cluster_90_size
WP_322681236.1,2593658,unclassified Nostoc,72,WP_322732512.1,6,WP_096607388.1,69
WP_414404485.1,2626047,unclassified Synechococcus,75,WP_414404485.1,7,WP_200989004.1,74
WP_414362100.1,2626047,unclassified Synechococcus,75,WP_414404485.1,7,WP_200989004.1,74
WP_414395174.1,2964533,Synechococcus sp. O70.2,75,WP_414404485.1,7,WP_200989004.1,74
WP_193980327.1,3396149,Floridanema,71,WP_461927368.1,38,WP_200989004.1,74
WP_413173348.1,197653,Anabaena azotica,75,WP_194056178.1,8,WP_200989004.1,74
WP_413173347.1,197653,Anabaena azotica,74,WP_194056178.1,8,WP_200989004.1,74
WP_413173346.1,197653,Anabaena azotica,73,WP_194056178.1,8,WP_200989004.1,74
WP_413173345.1,197653,Anabaena azotica,75,WP_194056178.1,8,WP_200989004.1,74
WP_413173344.1,197653,Anabaena azotica,76,WP_194056178.1,8,WP_200989004.1,74
WP_190464766.1,1301283,Oscillatoriophycideae,72,WP_017721733.1,4,WP_200989004.1,74
WP_190463961.1,1301283,Oscillatoriophycideae,72,WP_461927368.1,38,WP_200989004.1,74
WP_324704072.1,2886103,Lyngbya sp. CCY1209,72,WP_204152466.1,23,ABU55390.1,4
WP_280793164.1,2971766,Anabaenopsis sp. FSS-46,71,WP_461927368.1,38,WP_200989004.1,74
WP_283757384.1,3082944,Roseofilum casamattae,72,WP_204152466.1,23,WP_096607388.1,69
WP_280652748.1,75695,Umezakia ovalisporum,71,WP_461927368.1,38,WP_200989004.1,74
WP_408963110.1,3088171,Planktothrix sp.,72,WP_408963110.1,1,ABU55390.1,4
WP_038082255.1,1161,Nostocales,72,WP_017721733.1,4,WP_200989004.1,74
WP_392535573.1,3349875,Nostoc sp. C117,71,WP_392535573.1,1,WP_200989004.1,74
WP_377962562.1,3114804,Almyronema,72,WP_377962562.1,7,WP_200989004.1,74
WP_054470142.1,132607,Planktothricoides,71,WP_461927368.1,38,WP_200989004.1,74
WP_190432663.1,450526,Trichocoleus,72,WP_204152466.1,23,WP_096607388.1,69
WP_190377542.1,2650499,unclassified Leptolyngbya,72,WP_088893383.1,26,WP_096607388.1,69
WP_086756007.1,1161,Nostocales,73,WP_086756007.1,8,WP_096607388.1,69
WP_292781623.1,2593658,unclassified Nostoc,73,WP_086756007.1,8,WP_096607388.1,69
WP_054464971.1,132607,Planktothricoides,72,WP_054464971.1,1,WP_096607388.1,69
WP_009626980.1,3028117,Cyanophyceae,72,WP_204152466.1,23,WP_096607388.1,69
WP_073640805.1,3028117,Cyanophyceae,73,WP_086756007.1,8,WP_096607388.1,69
WP_283753117.1,1233426,Roseofilum,72,WP_204152466.1,23,WP_096607388.1,69
WP_193963479.1,2628167,unclassified Nodosilinea,72,WP_377962562.1,7,WP_200989004.1,74
WP_036004549.1,2547451,Leptolyngbya sp. NK1-12,72,WP_088893383.1,26,WP_096607388.1,69
WP_190643620.1,3028117,Cyanophyceae,72,WP_088893383.1,26,WP_096607388.1,69
WP_068510916.1,3028117,Cyanophyceae,72,WP_088893383.1,26,WP_096607388.1,69
WP_015171018.1,3028117,Cyanophyceae,72,WP_088893383.1,26,WP_096607388.1,69
WP_287130436.1,2714958,Candidatus Cyanaurora vandensis,72,WP_287130436.1,1,WP_200989004.1,74
WP_268609013.1,3065396,Thermocoleostomius sinensis,72,WP_088893383.1,26,WP_096607388.1,69
WP_298916699.1,340711,uncultured Nostoc sp.,75,WP_298916699.1,2,WP_298916699.1,2
WP_293160100.1,2607791,Okeania sp. SIO2C9,90,WP_293160100.1,1,WP_168569945.1,10
WP_293126616.1,2607772,Okeania sp. SIO1I7,90,WP_293061633.1,2,WP_293126616.1,5
WP_293124005.1,2607821,Moorena sp. SIO4G3,72,WP_088893383.1,26,WP_096607388.1,69
WP_293100807.1,2607790,Okeania sp. SIO2F4,89,WP_426542028.1,2,WP_293126616.1,5
WP_293087767.1,2607811,Okeania sp. SIO3B5,90,WP_202218625.1,2,WP_168569945.1,10
WP_293061633.1,2607784,Okeania sp. SIO2B3,90,WP_293061633.1,2,WP_293126616.1,5
WP_190553740.1,450526,Trichocoleus,72,WP_204152466.1,23,WP_096607388.1,69
WP_287674806.1,3407010,unclassified Microcystis (in: cyanobacteria),71,WP_461927368.1,38,WP_200989004.1,74
WP_287627019.1,3407010,unclassified Microcystis (in: cyanobacteria),71,WP_461927368.1,38,WP_200989004.1,74
WP_287280996.1,2607796,Okeania sp. SIO2G5,72,WP_377962562.1,7,WP_200989004.1,74
WP_271944488.1,1233426,Roseofilum,72,WP_204152466.1,23,WP_096607388.1,69
WP_012408764.1,1177,Nostoc,73,WP_086756007.1,8,WP_096607388.1,69
WP_011316976.1,1162,Nostocaceae,71,WP_153228363.1,3,WP_200989004.1,74
WP_272092571.1,70799,Nodularia spumigena,71,WP_461927368.1,38,WP_200989004.1,74
WP_272074942.1,70799,Nodularia spumigena,71,WP_461927368.1,38,WP_200989004.1,74
WP_271933955.1,70799,Nodularia spumigena,71,WP_461927368.1,38,WP_200989004.1,74
WP_272058300.1,70799,Nodularia spumigena,71,WP_461927368.1,38,WP_200989004.1,74
WP_261225443.1,2953691,Ancylothrix sp. D3o,75,WP_088893383.1,26,WP_096607388.1,69
WP_254567340.1,1150,Oscillatoriales,72,WP_322732512.1,6,WP_096607388.1,69
WP_235277851.1,1914529,Synechococcus sp. Nb3U1,72,WP_414404485.1,7,WP_200989004.1,74
WP_224341338.1,2931930,Kovacikia minuta,72,WP_088893383.1,26,WP_096607388.1,69
WP_204152466.1,2767772,Leptolyngbya sp. CCY15150,71,WP_204152466.1,23,WP_096607388.1,69
WP_202218625.1,2720165,Okeania sp. KiyG1,90,WP_202218625.1,2,WP_168569945.1,10
WP_201320714.1,1357935,Pseudanabaena sp. lw0831,75,WP_201320714.1,1,WP_200989004.1,74
WP_200989004.1,156213,Anabaenopsis elenkinii,71,WP_194056178.1,8,WP_200989004.1,74
WP_194056178.1,1828651,Sphaerospermopsis sp. LEGE 08334,71,WP_194056178.1,8,WP_200989004.1,74
WP_193959329.1,1828687,Microcystis sp. LEGE 08355,71,WP_461927368.1,38,WP_200989004.1,74
WP_193955741.1,1126,Microcystis aeruginosa,71,WP_461927368.1,38,WP_200989004.1,74
WP_193897365.1,1828603,Dolichospermum sp. LEGE 00240,71,WP_461927368.1,38,WP_200989004.1,74
WP_193875962.1,1828648,Oculatella sp. LEGE 06141,72,WP_088893383.1,26,WP_096607388.1,69
WP_190828481.1,2806730,Iningainema tapete,72,WP_190828481.1,1,WP_168569945.1,10
WP_190804824.1,3028117,Cyanophyceae,72,WP_414404485.1,7,WP_200989004.1,74
WP_190775818.1,2650499,unclassified Leptolyngbya,72,WP_190775818.1,1,WP_096607388.1,69
WP_190774558.1,2650499,unclassified Leptolyngbya,72,WP_088893383.1,26,WP_096607388.1,69
WP_190627385.1,3028117,Cyanophyceae,72,WP_377962562.1,7,WP_200989004.1,74
WP_190503885.1,3028117,Cyanophyceae,72,WP_088893383.1,26,WP_096607388.1,69
WP_190483017.1,2692859,Pseudanabaena sp. FACHB-2040,72,WP_204152466.1,23,WP_096607388.1,69
WP_190387978.1,1175,Aphanizomenon,71,WP_461927368.1,38,WP_200989004.1,74
WP_171572203.1,2803751,Leptolyngbya sp. Cla-17,72,WP_204152466.1,23,WP_096607388.1,69
WP_169617606.1,2546229,Nodosilinea sp. P-1105,72,WP_088893383.1,26,WP_200989004.1,74
WP_169262979.1,383614,Brasilonema,72,WP_322732512.1,6,WP_168569945.1,10
WP_168569945.1,1492710,Oxynema,72,WP_168569945.1,1,WP_168569945.1,10
WP_163931998.1,1162,Nostocaceae,73,WP_086756007.1,8,WP_096607388.1,69
WP_162425313.1,2056239,Myxacorys,72,WP_204152466.1,23,WP_096607388.1,69
WP_153228363.1,2490939,Anabaena sp. YBS01,61,WP_153228363.1,3,WP_096607388.1,69
WP_138500607.1,2575443,Nostoc sp. PA-18-2419,73,WP_086756007.1,8,WP_096607388.1,69
WP_107805940.1,3028117,Cyanophyceae,71,WP_461927368.1,38,WP_200989004.1,74
WP_106257461.1,3028117,Cyanophyceae,72,WP_088893383.1,26,WP_096607388.1,69
WP_103666325.1,2043171,Pseudanabaena sp. BC1403,74,WP_103666325.1,1,ABU55390.1,4
WP_099068598.1,1162,Nostocaceae,73,WP_086756007.1,8,WP_096607388.1,69
WP_096607388.1,1954172,Calothrix sp. NIES-2100,72,WP_096607388.1,1,WP_096607388.1,69
WP_088893383.1,1962290,Leptolyngbya ohadii,72,WP_088893383.1,26,WP_096607388.1,69
WP_084989880.1,1126,Microcystis aeruginosa,71,WP_461927368.1,38,WP_200989004.1,74
WP_083620231.1,1678310,Planktothrix serta,72,WP_026789190.1,4,WP_096607388.1,69
WP_075598971.1,1922337,Leptolyngbya sp. 'hensonii',72,WP_088893383.1,26,WP_096607388.1,69
WP_073608715.1,3028117,Cyanophyceae,72,WP_377962562.1,7,WP_200989004.1,74
WP_072717742.1,54304,Planktothrix,72,WP_204152466.1,23,WP_096607388.1,69
WP_063873375.1,1161,Nostocales,71,WP_461927368.1,38,WP_200989004.1,74
WP_063873374.1,3028117,Cyanophyceae,71,WP_461927368.1,38,WP_200989004.1,74
WP_057178839.1,1161,Nostocales,71,WP_461927368.1,38,WP_200989004.1,74
WP_045871251.1,1161,Nostocales,71,WP_461927368.1,38,WP_200989004.1,74
WP_042152734.1,1160,Planktothrix agardhii,72,WP_026789190.1,4,WP_096607388.1,69
WP_039752851.1,119859,Tolypothrichaceae,72,WP_322732512.1,6,WP_096607388.1,69
WP_036534731.1,1501145,Neosynechococcus sphagnicola,72,WP_204152466.1,23,WP_096607388.1,69
WP_026789190.1,54304,Planktothrix,72,WP_026789190.1,4,WP_096607388.1,69
WP_019501601.1,3687900,Portococcus stanieri,72,WP_204152466.1,23,WP_096607388.1,69
WP_017803924.1,70799,Nodularia spumigena,71,WP_461927368.1,38,WP_200989004.1,74
WP_017803923.1,70799,Nodularia spumigena,71,WP_461927368.1,38,WP_200989004.1,74
WP_017300094.1,3028117,Cyanophyceae,72,WP_377962562.1,7,WP_200989004.1,74
WP_016922591.1,1223,Prochlorothrix hollandica,71,WP_016922591.1,1,WP_096607388.1,69
WP_015229078.1,292566,Dactylococcopsis salina,72,WP_015224598.1,2,WP_200989004.1,74
WP_015224598.1,65093,Halothece sp. PCC 7418,72,WP_015224598.1,2,WP_200989004.1,74
WP_015167036.1,3687901,Pseudanabaenococcus habilitatus,72,WP_204152466.1,23,WP_096607388.1,69
WP_015146561.1,1892254,Oscillatoriaceae,72,WP_322732512.1,6,WP_096607388.1,69
WP_015080752.1,1161,Nostocales,71,WP_461927368.1,38,WP_200989004.1,74
WP_011429717.1,3028117,Cyanophyceae,72,WP_414404485.1,7,WP_200989004.1,74
WP_010996411.1,1161,Nostocales,71,WP_153228363.1,3,WP_200989004.1,74
WP_009768191.1,1890438,Leptolyngbyaceae,72,WP_088893383.1,26,WP_096607388.1,69
WP_008311322.1,1173264,Leptolyngbya sp. PCC 6406,72,WP_204152466.1,23,WP_096607388.1,69
WP_002735503.1,1301283,Oscillatoriophycideae,71,WP_461927368.1,38,WP_200989004.1,74
ABG51546.1,203124,Trichodesmium erythraeum IMS101,75,ABG51547.1,2,WP_200989004.1,74
ABG51547.1,203124,Trichodesmium erythraeum IMS101,72,ABG51547.1,2,WP_200989004.1,74
ABU55390.1,463197,Limnospira maxima OUCLXC,72,WP_204152466.1,23,ABU55390.1,4
WP_330936551.1,77022,Cylindrospermopsis raciborskii,59,WP_194056178.1,8,WP_200989004.1,74
GAB4214070.1,2478492,Synechococcales cyanobacterium,72,WP_414404485.1,7,WP_200989004.1,74
GAB4386638.1,3121617,Elainellaceae cyanobacterium,72,WP_088893383.1,26,WP_096607388.1,69
WP_458646425.1,446679,Nostoc sphaeroides,91,WP_458646425.1,1,WP_458646425.1,1
WP_461927368.1,1180,Nostoc sp.,74,WP_461927368.1,38,WP_200989004.1,74
WP_461930966.1,1180,Nostoc sp.,71,WP_461927368.1,38,WP_200989004.1,74
WP_472408654.1,1125,Microcystis,80,WP_461927368.1,38,WP_200989004.1,74
WP_479716902.1,3698976,Calyptranema fuscum,72,WP_088893383.1,26,WP_096607388.1,69
WP_488204244.1,2908845,Thainema salinarum,72,WP_088893383.1,26,WP_096607388.1,69
WP_488739600.1,3712868,Roseofilum sp. KMC-1,72,WP_204152466.1,23,WP_096607388.1,69
WP_017322549.1,28069,Chlorogloeopsis sp.,73,WP_204152466.1,23,WP_200989004.1,74
AOC53260.1,1698524,Microcystis aeruginosa NIES-2481,60,WP_461927368.1,38,WP_200989004.1,74
GEA25652.1,2569534,Microcystis aeruginosa NIES-4325,84,WP_461927368.1,38,WP_200989004.1,74
WP_496081776.1,3100439,Tildeniella sp.,72,WP_204152466.1,23,WP_096607388.1,69
WP_502249006.1,2934970,Lyngbya flaviceps,72,WP_502249006.1,1,WP_168569945.1,10
WP_502881973.1,3407010,unclassified Microcystis (in: cyanobacteria),80,WP_461927368.1,38,WP_200989004.1,74
WP_505716830.1,3100549,Leptothermofonsia sp.,72,WP_088893383.1,26,WP_096607388.1,69
WP_506081038.1,3100574,Thermocoleostomius sp.,72,WP_377962562.1,7,WP_200989004.1,74
