sequence_id,source,source_type,length,projection_1,projection_2,nearest_train_embedding_distance,embedding_outlier
local_cpu_aa_frequency_seed42_0026,AA-frequency baseline,baseline,73,8.746501,7.390096,0.24944769,True
local_cpu_aa_frequency_seed42_0027,AA-frequency baseline,baseline,71,5.133422,8.244265,0.27144134,True
local_cpu_aa_frequency_seed42_0028,AA-frequency baseline,baseline,74,3.6535966,8.549884,0.46268147,True
local_cpu_aa_frequency_seed42_0029,AA-frequency baseline,baseline,71,4.2006793,8.286386,0.38654193,True
local_cpu_aa_frequency_seed42_0030,AA-frequency baseline,baseline,72,12.667874,6.9835253,0.17469247,True
local_cpu_aa_frequency_seed42_0031,AA-frequency baseline,baseline,73,11.038435,7.2692833,0.15165909,True
local_cpu_aa_frequency_seed42_0032,AA-frequency baseline,baseline,72,10.311815,7.2152023,0.23986615,True
local_cpu_aa_frequency_seed42_0033,AA-frequency baseline,baseline,71,9.137453,7.032923,0.29194504,True
local_cpu_aa_frequency_seed42_0034,AA-frequency baseline,baseline,72,9.722051,8.773297,0.23041908,True
local_cpu_aa_frequency_seed42_0035,AA-frequency baseline,baseline,80,3.426598,9.09422,0.40387264,True
local_cpu_aa_frequency_seed42_0036,AA-frequency baseline,baseline,91,3.74104,8.849269,0.34975374,True
local_cpu_aa_frequency_seed42_0037,AA-frequency baseline,baseline,71,4.460273,8.280665,0.27776787,True
local_cpu_aa_frequency_seed42_0038,AA-frequency baseline,baseline,72,3.6243107,8.44061,0.4079592,True
local_cpu_aa_frequency_seed42_0039,AA-frequency baseline,baseline,72,8.272224,7.431152,0.26511064,True
local_cpu_aa_frequency_seed42_0040,AA-frequency baseline,baseline,71,4.0301504,8.196201,0.34589773,True
local_cpu_aa_frequency_seed42_0041,AA-frequency baseline,baseline,74,8.743249,7.2311163,0.24851836,True
local_cpu_aa_frequency_seed42_0042,AA-frequency baseline,baseline,71,3.1553075,8.883098,0.5143791,True
local_cpu_aa_frequency_seed42_0043,AA-frequency baseline,baseline,73,11.102386,7.126708,0.1844482,True
local_cpu_aa_frequency_seed42_0044,AA-frequency baseline,baseline,72,4.195222,8.475279,0.36208087,True
local_cpu_aa_frequency_seed42_0045,AA-frequency baseline,baseline,71,10.133216,7.3595634,0.26704141,True
local_cpu_aa_frequency_seed42_0046,AA-frequency baseline,baseline,72,3.6906729,9.765224,0.3744272,True
local_cpu_aa_frequency_seed42_0047,AA-frequency baseline,baseline,71,3.6124923,8.36378,0.37886426,True
local_cpu_aa_frequency_seed42_0048,AA-frequency baseline,baseline,72,3.8428404,8.378786,0.37247795,True
local_cpu_aa_frequency_seed42_0049,AA-frequency baseline,baseline,72,4.414499,8.393803,0.34721106,True
local_cpu_aa_frequency_seed42_0050,AA-frequency baseline,baseline,72,8.62297,7.2036705,0.27034757,True
local_cpu_aa_frequency_seed42_0051,AA-frequency baseline,baseline,71,8.633518,7.240934,0.24399361,True
local_cpu_aa_frequency_seed42_0052,AA-frequency baseline,baseline,72,7.974299,8.225323,0.15849598,True
local_cpu_aa_frequency_seed42_0053,AA-frequency baseline,baseline,71,3.300029,8.605115,0.47845995,True
local_cpu_aa_frequency_seed42_0054,AA-frequency baseline,baseline,75,6.4790087,7.6704087,0.23903075,True
local_cpu_aa_frequency_seed42_0055,AA-frequency baseline,baseline,72,8.355921,7.9387403,0.22470754,True
local_cpu_aa_frequency_seed42_0056,AA-frequency baseline,baseline,60,3.6424658,8.034964,0.45137674,True
local_cpu_aa_frequency_seed42_0057,AA-frequency baseline,baseline,72,6.6907372,9.830332,0.20788054,True
local_cpu_aa_frequency_seed42_0058,AA-frequency baseline,baseline,72,8.78825,7.871199,0.16165908,True
local_cpu_aa_frequency_seed42_0059,AA-frequency baseline,baseline,80,9.8578615,7.2017326,0.2508428,True
local_cpu_aa_frequency_seed42_0060,AA-frequency baseline,baseline,72,5.1742954,9.081337,0.30867872,True
local_cpu_aa_frequency_seed42_0061,AA-frequency baseline,baseline,71,3.5841327,8.497456,0.4036013,True
local_cpu_aa_frequency_seed42_0062,AA-frequency baseline,baseline,72,9.253799,8.020507,0.17612475,True
local_cpu_aa_frequency_seed42_0063,AA-frequency baseline,baseline,72,7.8103356,7.5234675,0.23428164,True
local_cpu_aa_frequency_seed42_0064,AA-frequency baseline,baseline,72,3.300642,9.110902,0.46314448,True
local_cpu_aa_frequency_seed42_0065,AA-frequency baseline,baseline,71,8.307543,7.3977675,0.26020306,True
local_cpu_aa_frequency_seed42_0066,AA-frequency baseline,baseline,72,8.368013,7.700194,0.19422856,True
local_cpu_aa_frequency_seed42_0067,AA-frequency baseline,baseline,72,10.61695,7.069489,0.18122834,True
local_cpu_aa_frequency_seed42_0068,AA-frequency baseline,baseline,71,8.116721,7.4848027,0.26701218,True
local_cpu_aa_frequency_seed42_0069,AA-frequency baseline,baseline,72,3.673497,9.308908,0.38050896,True
local_cpu_aa_frequency_seed42_0070,AA-frequency baseline,baseline,72,3.5034695,8.123996,0.4676656,True
local_cpu_aa_frequency_seed42_0071,AA-frequency baseline,baseline,72,7.8544354,7.5960407,0.22680861,True
local_cpu_aa_frequency_seed42_0072,AA-frequency baseline,baseline,71,8.934834,7.0894027,0.26316345,True
local_cpu_aa_frequency_seed42_0073,AA-frequency baseline,baseline,72,4.1673536,8.318698,0.3458853,True
local_cpu_aa_frequency_seed42_0074,AA-frequency baseline,baseline,72,4.8182435,9.687537,0.3261909,True
local_cpu_aa_frequency_seed42_0075,AA-frequency baseline,baseline,71,9.687952,7.0362253,0.26599768,True
local_cpu_aa_frequency_seed42_0076,AA-frequency baseline,baseline,72,7.708178,7.605372,0.23231363,True
local_cpu_aa_frequency_seed42_0077,AA-frequency baseline,baseline,73,6.0583797,9.847653,0.40917736,True
local_cpu_aa_frequency_seed42_0078,AA-frequency baseline,baseline,73,3.1793523,9.417233,0.48641047,True
local_cpu_aa_frequency_seed42_0079,AA-frequency baseline,baseline,72,6.2912107,8.124163,0.25068334,True
local_cpu_aa_frequency_seed42_0080,AA-frequency baseline,baseline,71,9.119701,7.027306,0.31034318,True
local_cpu_aa_frequency_seed42_0081,AA-frequency baseline,baseline,71,11.057885,7.1491823,0.1647517,True
local_cpu_aa_frequency_seed42_0082,AA-frequency baseline,baseline,73,3.1325493,9.342115,0.5772997,True
local_cpu_aa_frequency_seed42_0083,AA-frequency baseline,baseline,73,10.846804,7.7398915,0.21365248,True
local_cpu_aa_frequency_seed42_0084,AA-frequency baseline,baseline,72,8.985475,7.1028056,0.28899074,True
local_cpu_aa_frequency_seed42_0085,AA-frequency baseline,baseline,72,3.8028495,8.487831,0.3937509,True
local_cpu_aa_frequency_seed42_0086,AA-frequency baseline,baseline,73,3.038151,9.223502,0.5250775,True
local_cpu_aa_frequency_seed42_0087,AA-frequency baseline,baseline,72,3.1539466,8.771499,0.5398104,True
local_cpu_aa_frequency_seed42_0088,AA-frequency baseline,baseline,72,5.7755566,8.405679,0.25367656,True
local_cpu_aa_frequency_seed42_0089,AA-frequency baseline,baseline,59,9.618139,8.415778,0.23003177,True
local_cpu_aa_frequency_seed42_0090,AA-frequency baseline,baseline,72,3.8277724,8.209871,0.43938395,True
local_cpu_aa_frequency_seed42_0091,AA-frequency baseline,baseline,72,8.771717,7.465207,0.17507146,True
local_cpu_aa_frequency_seed42_0092,AA-frequency baseline,baseline,72,11.466908,6.4090734,0.23019134,True
local_cpu_aa_frequency_seed42_0093,AA-frequency baseline,baseline,72,4.002318,8.276778,0.3843786,True
local_cpu_aa_frequency_seed42_0094,AA-frequency baseline,baseline,72,3.8308735,8.484761,0.37120104,True
local_cpu_aa_frequency_seed42_0095,AA-frequency baseline,baseline,72,10.241441,8.012395,0.21221873,True
local_cpu_aa_frequency_seed42_0096,AA-frequency baseline,baseline,72,9.33475,7.0293703,0.2912525,True
local_cpu_aa_frequency_seed42_0097,AA-frequency baseline,baseline,71,3.4798071,8.560991,0.45029485,True
local_cpu_aa_frequency_seed42_0098,AA-frequency baseline,baseline,71,4.4575615,8.268826,0.36753535,True
local_cpu_aa_frequency_seed42_0099,AA-frequency baseline,baseline,72,10.444096,8.713292,0.22482184,True
local_cpu_kmer3_seed42_0000,3-mer baseline,baseline,72,3.5527153,9.263115,0.42311436,True
local_cpu_kmer3_seed42_0001,3-mer baseline,baseline,71,3.597186,5.697338,0.463369,True
local_cpu_kmer3_seed42_0002,3-mer baseline,baseline,72,2.3121572,5.6904154,0.7410177,True
local_cpu_kmer3_seed42_0003,3-mer baseline,baseline,74,3.1277473,6.631649,0.5827452,True
local_cpu_kmer3_seed42_0004,3-mer baseline,baseline,72,3.9936154,5.947928,0.42612675,True
local_cpu_kmer3_seed42_0005,3-mer baseline,baseline,74,2.6694064,6.0065846,0.6640031,True
local_cpu_kmer3_seed42_0006,3-mer baseline,baseline,72,5.289841,5.77354,0.3253309,True
local_cpu_kmer3_seed42_0007,3-mer baseline,baseline,72,4.896739,6.2002053,0.27727324,True
local_cpu_kmer3_seed42_0008,3-mer baseline,baseline,73,1.9975426,5.230798,0.77086073,True
local_cpu_kmer3_seed42_0009,3-mer baseline,baseline,71,5.1322675,4.96192,0.45382714,True
local_cpu_kmer3_seed42_0010,3-mer baseline,baseline,72,5.1475563,6.0051494,0.29045716,True
local_cpu_kmer3_seed42_0011,3-mer baseline,baseline,75,5.1727333,6.4084873,0.21707933,True
local_cpu_kmer3_seed42_0012,3-mer baseline,baseline,75,4.384597,5.078774,0.48870793,True
local_cpu_kmer3_seed42_0013,3-mer baseline,baseline,84,4.4557433,5.0731206,0.58237636,True
local_cpu_kmer3_seed42_0014,3-mer baseline,baseline,59,11.291428,6.3437376,0.2025973,True
local_cpu_kmer3_seed42_0015,3-mer baseline,baseline,75,2.8749528,5.1910067,0.57470924,True
local_cpu_kmer3_seed42_0016,3-mer baseline,baseline,74,2.7024689,5.610205,0.6036516,True
local_cpu_kmer3_seed42_0017,3-mer baseline,baseline,74,2.5171583,5.688164,0.597678,True
local_cpu_kmer3_seed42_0018,3-mer baseline,baseline,71,6.1943135,6.4167323,0.28852814,True
local_cpu_kmer3_seed42_0019,3-mer baseline,baseline,72,3.676552,5.012454,0.5531118,True
